Export Parameters
Hansatech Instruments Ltd Handy PEA Data
PEA Plus Version: 1.13
Format:2a
Comment1:                                                                                                   
Comment2:                                                                                                   
Comment3:                                                                                                   
Comment4:                                                                                                   

Calculate PI using Fo=TRUE

Record No,P. Light,P. Dur.(sec),Light,Gain,Dur.(sec),Flash,Date,Time,ID,Scaled,Scale,Offset,Protocol,Dark Offset, ,t for Fm,Area,Fo,Fm,Fv,F1,F2,F3,F4,F5,Fo/Fm,Fv/Fm,PI Inst.,Fv/Fo,Vj,Vi,dVG/dto,dV/dto,Sm,N,Sm/t(Fm),ABS/RC,DIo/RC,TRo/RC,ETo/RC,REo/RC,phi(Po),psi(Eo),phi(Eo),delta(Ro),phi(Ro),ABS/CSo,DIo/CSo,TRo/CSo,ETo/CSo,REo/CSo,ABS/CSm,DIo/CSm,TRo/CSm,ETo/CSm,REo/CSm,gamma(RC)/((1-gamma(RC)),phi(Po)/((1-phi(Po)),psi(Eo)/(1-psi(Eo)),PI abs,dRo/(1-dRo),PI total,DF abs,DF Total,kP / ABS * kF,kN / ABS * kF,Origin to F1,F1 to F3,F1 to F4,F1 to F5,F3 to F4,F4 to F5,F5 to Fm,
33,0,0,1500,1.0,1.00,1,01/01/00,02:02:10,       , NO,-,-,0,0,,1.20,0,434,1039,605,482,525,715,1097,1419,0.4177,0.582,-0.0419,1.394,1.0959,1.6281,0.7107,1.5482,0.0000,0.0000,0.0000,2.4262,1.0135,1.4128,-0.1354,-0.887,0.5823,-0.0959,-0.0558,6.5517,-0.3657,434.0000,181.2859,252.7141,-24.2271,-158.7295,1039.00000,434.0000,605.0000,-58.0000,-380.0000,0.4122,1.394,-0.0875,-0.050,-1.1801,0.0593,INF,-1.2268,0.0013,0.0010,23,110,0,0,0,0,0,
34,0,0,1500,1.0,1.00,1,01/01/00,02:02:20,       , NO,-,-,0,0,,290.00,50586,437,1912,1475,477,515,693,1160,1545,0.2286,0.771,1.9122,3.375,0.4902,0.7512,0.2576,0.5785,34.2958,40.4782,0.1183,1.5299,0.3497,1.1803,0.6017,0.294,0.7714,0.5098,0.3933,0.4880,0.1919,437.0000,99.8792,337.1208,171.8745,83.8802,1912.00000,437.0000,1475.00000,752.0000,367.0000,0.6536,3.375,1.0401,2.295,0.9532,2.1874,0.3607,0.3399,0.0018,0.0005,58,333,1592,15968,1259,14377,34560,
35,0,0,1500,1.0,1.00,1,01/01/00,02:02:34,       , NO,-,-,0,0,,290.00,52903,413,2013,1600,463,509,724,1239,1629,0.2052,0.795,1.9159,3.874,0.5162,0.7600,0.2875,0.6479,33.0642,41.4970,0.1140,1.5790,0.3240,1.2550,0.6071,0.301,0.7948,0.4838,0.3845,0.4961,0.1908,413.0000,84.7337,328.2663,158.7988,78.7839,2013.00000,413.0000,1600.00000,774.0000,384.0000,0.6333,3.874,0.9370,2.299,0.9846,2.2637,0.3615,0.3548,0.0019,0.0005,62,356,1682,16750,1326,15068,36090,
36,0,0,1500,1.0,1.00,1,01/01/00,02:03:07,       , NO,-,-,0,0,,1.20,0,409,1046,637,463,513,721,1106,1374,0.3910,0.609,-0.0456,1.557,1.0942,1.5149,0.7849,1.6327,0.0000,0.0000,0.0000,2.4502,0.9580,1.4921,-0.1405,-0.768,0.6090,-0.0942,-0.0574,5.4667,-0.3136,409.0000,159.9245,249.0755,-23.4608,-128.2524,1046.00000,409.0000,637.0000,-60.0000,-328.0000,0.4081,1.557,-0.0861,-0.055,-1.2239,0.0670,INF,-1.1741,0.0015,0.0010,24,113,0,0,0,0,0,
37,0,0,1500,1.0,1.00,1,01/01/00,02:03:31,       , NO,-,-,0,0,,900.00,62696,409,1959,1550,463,511,736,1209,1578,0.2088,0.791,1.7193,3.790,0.5161,0.7542,0.3097,0.7032,40.4490,55.1117,0.0449,1.7220,0.3595,1.3625,0.6593,0.335,0.7912,0.4839,0.3828,0.5080,0.1945,409.0000,85.3910,323.6090,156.5850,79.5452,1959.00000,409.0000,1550.00000,750.0000,381.0000,0.5807,3.790,0.9375,2.063,1.0325,2.1303,0.3145,0.3284,0.0019,0.0005,60,341,1834,16431,1494,14596,46205,
38,0,0,1500,1.0,1.00,1,01/01/00,02:04:04,       , NO,-,-,0,0,,300.00,45510,427,1958,1531,493,550,800,1245,1625,0.2181,0.782,1.3398,3.585,0.5343,0.7825,0.3723,0.8121,29.7260,45.1825,0.0991,1.9439,0.4239,1.5200,0.7079,0.331,0.7819,0.4657,0.3641,0.4670,0.1701,427.0000,93.1200,333.8800,155.4908,72.6205,1958.00000,427.0000,1531.00000,713.0000,333.0000,0.5144,3.585,0.8716,1.608,0.8763,1.4089,0.2062,0.1489,0.0018,0.0005,59,328,1506,14916,1178,13410,30535,
39,0,0,1500,1.0,1.00,1,01/01/00,02:04:43,       , NO,-,-,0,0,,600.00,58337,442,2520,2078,574,696,1144,1620,2140,0.1754,0.825,1.2425,4.701,0.5669,0.8171,0.5871,1.1261,28.0735,55.7656,0.0468,2.4089,0.4225,1.9864,0.8603,0.363,0.8246,0.4331,0.3571,0.4222,0.1508,442.0000,77.5254,364.4746,157.8571,66.6508,2520.00000,442.0000,2078.00000,900.0000,380.0000,0.4151,4.701,0.7640,1.491,0.7308,1.0896,0.1735,0.0373,0.0019,0.0004,79,410,2092,19142,1682,17051,39115,
40,0,0,1500,1.0,1.00,1,01/01/00,02:04:56,       , NO,-,-,0,0,,600.00,70872,459,2299,1840,530,593,879,1429,1859,0.1997,0.800,1.6615,4.009,0.5272,0.7609,0.3424,0.7609,38.5175,55.5923,0.0642,1.8033,0.3600,1.4433,0.6824,0.345,0.8003,0.4728,0.3784,0.5057,0.1914,459.0000,91.6403,367.3597,173.6973,87.8469,2299.00000,459.0000,1840.00000,870.0000,440.0000,0.5545,4.009,0.8969,1.994,1.0233,2.0401,0.2997,0.3097,0.0017,0.0004,72,399,1925,19686,1526,17761,51115,
41,0,0,1500,1.0,1.00,1,01/01/00,02:05:06,       , NO,-,-,0,0,,1.20,72,421,1336,915,535,637,1008,1362,1654,0.3151,0.685,-0.0165,2.173,1.0284,1.3475,1.1148,2.1384,0.0783,0.1628,0.0652,3.0361,0.9567,2.0793,-0.0591,-0.723,0.6849,-0.0284,-0.0195,12.2308,-0.2380,421.0000,132.6654,288.3346,-8.1931,-100.2081,1336.00000,421.0000,915.0000,-26.0000,-318.0000,0.3294,2.173,-0.0276,-0.020,-1.0890,0.0215,INF,-1.6667,0.0016,0.0007,33,135,23,0,0,0,0,
42,0,0,1500,1.0,1.00,1,01/01/00,02:05:35,       , NO,-,-,0,0,,300.00,52276,411,2151,1740,494,568,892,1390,1781,0.1911,0.809,1.3546,4.234,0.5626,0.7874,0.4253,0.9215,30.0439,49.2036,0.1001,2.0246,0.3868,1.6377,0.7163,0.348,0.8089,0.4374,0.3538,0.4862,0.1720,411.0000,78.5314,332.4686,145.4073,70.6974,2151.00000,411.0000,1740.00000,761.0000,370.0000,0.4939,4.234,0.7773,1.625,0.9463,1.5382,0.2110,0.1870,0.0020,0.0005,67,364,1653,17109,1289,15456,35100,
43,0,0,1500,1.0,1.00,1,01/01/00,02:05:52,       , NO,-,-,0,0,,1.20,79,451,1355,904,559,660,1017,1387,1674,0.3328,0.667,-0.0189,2.004,1.0354,1.3529,1.1173,2.0870,0.0878,0.1771,0.0732,3.0213,1.0056,2.0157,-0.0714,-0.711,0.6672,-0.0354,-0.0236,9.9687,-0.2354,451.0000,150.1114,300.8886,-10.6509,-106.1764,1355.00000,451.0000,904.0000,-32.0000,-319.0000,0.3310,2.004,-0.0342,-0.023,-1.1115,0.0252,INF,-1.5984,0.0015,0.0007,33,137,29,0,0,0,0,
44,0,0,1500,1.0,1.00,1,01/01/00,02:06:18,       , NO,-,-,0,0,,1.20,57,439,1304,865,544,641,987,1337,1582,0.3367,0.663,-0.0197,1.970,1.0382,1.3214,1.1214,2.1118,0.0663,0.1349,0.0553,3.0665,1.0324,2.0341,-0.0776,-0.654,0.6633,-0.0382,-0.0253,8.4242,-0.2132,439.0000,147.7922,291.2078,-11.1097,-93.5905,1304.00000,439.0000,865.0000,-33.0000,-278.0000,0.3261,1.970,-0.0367,-0.024,-1.1347,0.0268,INF,-1.5720,0.0015,0.0008,32,130,7,0,0,0,0,
45,0,0,1500,1.0,1.00,1,01/01/00,02:06:34,       , NO,-,-,0,0,,1.20,20,456,1155,699,520,581,818,1213,1489,0.3948,0.605,-0.0372,1.533,1.0830,1.4778,0.8727,1.7263,0.0293,0.0466,0.0244,2.6339,1.0399,1.5940,-0.1323,-0.762,0.6052,-0.0830,-0.0502,5.7586,-0.2892,456.0000,180.0312,275.9688,-22.8987,-131.8649,1155.00000,456.0000,699.0000,-58.0000,-334.0000,0.3797,1.533,-0.0766,-0.045,-1.2101,0.0540,INF,-1.2679,0.0013,0.0009,26,121,0,0,0,0,0,
46,0,0,1500,1.0,1.00,1,01/01/00,02:06:52,       , NO,-,-,0,0,,800.00,58219,473,2069,1596,539,596,852,1366,1708,0.2286,0.771,1.2070,3.374,0.5595,0.7738,0.3571,0.7916,36.4781,51.6059,0.0456,1.8340,0.4193,1.4147,0.6231,0.320,0.7714,0.4405,0.3398,0.5135,0.1745,473.0000,108.1339,364.8661,160.7148,82.5292,2069.00000,473.0000,1596.00000,703.0000,361.0000,0.5453,3.374,0.7872,1.448,1.0556,1.5288,0.1609,0.1844,0.0016,0.0005,62,343,1559,15862,1216,14303,42295,
47,0,0,1500,1.0,1.00,1,01/01/00,02:07:08,       , NO,-,-,0,0,,800.00,60601,490,2138,1648,566,634,927,1423,1757,0.2292,0.771,1.0604,3.363,0.5661,0.7688,0.4126,0.8839,36.7724,57.4117,0.0460,2.0255,0.4642,1.5613,0.6774,0.361,0.7708,0.4339,0.3344,0.5329,0.1782,490.0000,112.3012,377.6988,163.8681,87.3199,2138.00000,490.0000,1648.00000,715.0000,381.0000,0.4937,3.363,0.7663,1.272,1.1407,1.4516,0.1047,0.1618,0.0016,0.0005,64,348,1775,16512,1427,14737,44025,
48,0,0,1500,1.0,1.00,1,01/01/00,02:08:12,       , NO,-,-,0,0,,600.00,55215,427,2296,1869,525,620,989,1486,1947,0.1860,0.814,1.2838,4.377,0.5666,0.8133,0.5083,1.0023,29.5425,52.2595,0.0492,2.1731,0.4041,1.7690,0.7666,0.330,0.8140,0.4334,0.3528,0.4309,0.1520,427.0000,79.4116,347.5884,150.6402,64.9055,2296.00000,427.0000,1869.00000,810.0000,349.0000,0.4602,4.377,0.7649,1.541,0.7570,1.1663,0.1877,0.0668,0.0019,0.0004,72,382,1941,17438,1559,15497,37705,
49,0,0,1500,1.0,1.00,1,01/01/00,02:08:35,       , NO,-,-,0,0,,500.00,55832,395,2359,1964,477,547,868,1429,1957,0.1674,0.833,2.0348,4.972,0.5265,0.7953,0.3564,0.8028,28.4275,43.3469,0.0569,1.8315,0.3067,1.5248,0.7220,0.312,0.8326,0.4735,0.3942,0.4323,0.1704,395.0000,66.1403,328.8597,155.7228,67.3124,2359.00000,395.0000,1964.00000,930.0000,402.0000,0.5460,4.972,0.8994,2.442,0.7614,1.8591,0.3877,0.2693,0.0021,0.0004,76,422,2035,19845,1613,17811,35910,
50,0,0,1500,1.0,1.00,1,01/01/00,02:08:52,       , NO,-,-,0,0,,290.00,52301,418,2245,1827,515,605,960,1458,1896,0.1862,0.814,1.2912,4.371,0.5692,0.8090,0.4926,0.9889,28.6269,49.7301,0.0987,2.1346,0.3974,1.7372,0.7483,0.332,0.8138,0.4308,0.3506,0.4435,0.1555,418.0000,77.8281,340.1719,146.5327,64.9808,2245.00000,418.0000,1827.00000,787.0000,349.0000,0.4685,4.371,0.7567,1.549,0.7968,1.2346,0.1902,0.0915,0.0019,0.0004,70,375,1723,17026,1348,15303,35205,
51,0,0,1500,1.0,1.00,1,01/01/00,02:09:22,       , NO,-,-,0,0,,1.20,0,458,1096,638,522,582,813,1140,1416,0.4179,0.582,-0.0251,1.393,1.0690,1.5016,0.9404,1.8548,0.0000,0.0000,0.0000,2.9807,1.2456,1.7351,-0.1197,-0.870,0.5821,-0.0690,-0.0401,7.2727,-0.2920,458.0000,191.3905,266.6095,-18.3869,-133.7226,1096.00000,458.0000,638.0000,-44.0000,-320.0000,0.3355,1.393,-0.0645,-0.030,-1.1594,0.0350,INF,-1.4564,0.0013,0.0009,24,105,0,0,0,0,0,
52,0,0,1500,1.0,1.00,1,01/01/00,02:09:40,       , NO,-,-,0,0,,1.20,40,439,1245,806,532,618,929,1281,1546,0.3526,0.647,-0.0218,1.836,1.0447,1.3734,1.0670,2.0265,0.0497,0.0964,0.0414,2.9964,1.0566,1.9398,-0.0866,-0.724,0.6474,-0.0447,-0.0289,8.3611,-0.2418,439.0000,154.7960,284.2040,-12.6940,-106.1357,1245.00000,439.0000,806.0000,-36.0000,-301.0000,0.3337,1.836,-0.0428,-0.026,-1.1358,0.0298,INF,-1.5264,0.0015,0.0008,30,125,0,0,0,0,0,
53,0,0,1500,1.0,1.00,1,01/01/00,02:09:53,       , NO,-,-,0,0,,500.00,61370,446,2432,1986,528,604,939,1491,2024,0.1834,0.817,1.7352,4.453,0.5262,0.7946,0.3827,0.8275,30.9014,48.5946,0.0618,1.9257,0.3532,1.5726,0.7451,0.323,0.8166,0.4738,0.3869,0.4336,0.1678,446.0000,81.7911,364.2089,172.5683,74.8224,2432.00000,446.0000,1986.00000,941.0000,408.0000,0.5193,4.453,0.9005,2.082,0.7655,1.5939,0.3185,0.2025,0.0018,0.0004,77,424,2059,19758,1635,17700,41535,
54,0,0,1500,1.0,1.00,1,01/01/00,02:10:20,       , NO,-,-,0,0,,600.00,21577,394,1203,809,465,531,754,953,1069,0.3275,0.672,0.2397,2.053,0.6910,0.8344,0.8158,1.4833,26.6711,57.2547,0.0445,3.1922,1.0455,2.1467,0.6634,0.356,0.6725,0.3090,0.2078,0.5360,0.1114,394.0000,129.0407,264.9593,81.8786,43.8869,1203.00000,394.0000,809.0000,250.0000,134.0000,0.3133,2.053,0.4472,0.288,1.1552,0.3323,-0.5411,-0.4785,0.0017,0.0008,30,145,649,5582,504,4933,15965,
55,0,0,1500,1.0,1.00,1,01/01/00,02:10:32,       , NO,-,-,0,0,,900.00,51181,474,1809,1335,527,576,785,1161,1491,0.2620,0.738,1.0827,2.816,0.5146,0.7618,0.3670,0.7765,38.3379,57.8510,0.0426,2.0447,0.5358,1.5090,0.7324,0.359,0.7380,0.4854,0.3582,0.4907,0.1758,474.0000,124.1990,349.8010,169.7910,83.3234,1809.00000,474.0000,1335.00000,648.0000,318.0000,0.4891,2.816,0.9432,1.299,0.9636,1.2520,0.1137,0.0976,0.0016,0.0006,52,288,1558,13574,1270,12017,37555,
56,0,0,1500,1.0,1.00,1,01/01/00,02:10:50,       , NO,-,-,0,0,,800.00,42360,428,1499,1071,473,516,691,1019,1257,0.2855,0.714,0.8158,2.502,0.5518,0.7740,0.4015,0.8185,39.5521,58.6701,0.0494,2.0762,0.5928,1.4834,0.6648,0.335,0.7145,0.4482,0.3202,0.5042,0.1614,428.0000,122.2041,305.7959,137.0514,69.0967,1499.00000,428.0000,1071.00000,480.0000,242.0000,0.4817,2.502,0.8122,0.979,1.0168,0.9954,-0.0093,-0.0020,0.0017,0.0007,42,229,1198,10169,970,8970,32150,
57,0,0,1500,1.0,1.00,1,01/01/00,02:11:22,       , NO,-,-,0,0,,700.00,57482,451,2173,1722,538,616,931,1381,1809,0.2075,0.792,1.2481,3.818,0.5401,0.7886,0.4530,0.9292,33.3812,57.4300,0.0477,2.1710,0.4506,1.7204,0.7913,0.364,0.7925,0.4599,0.3645,0.4596,0.1675,451.0000,93.6038,357.3962,164.3774,75.5472,2173.00000,451.0000,1722.00000,792.0000,364.0000,0.4606,3.818,0.8516,1.498,0.8505,1.2738,0.1754,0.1051,0.0018,0.0005,66,358,1884,17036,1526,15152,40380,
58,0,0,1500,1.0,1.00,1,01/01/00,02:11:37,       , NO,-,-,0,0,,300.00,47966,451,2182,1731,557,648,1018,1477,1853,0.2067,0.793,0.9465,3.838,0.5927,0.8099,0.5257,1.0919,27.7098,51.0444,0.0924,2.3221,0.4799,1.8421,0.7503,0.350,0.7933,0.4073,0.3231,0.4667,0.1508,451.0000,93.2177,357.7823,145.7172,68.0014,2182.00000,451.0000,1731.00000,705.0000,329.0000,0.4307,3.838,0.6871,1.136,0.8750,0.9938,0.0553,-0.0027,0.0018,0.0005,66,346,1542,15314,1196,13772,32585,
59,0,0,1500,1.0,1.00,1,01/01/00,02:11:53,       , NO,-,-,0,0,,700.00,66324,416,2293,1877,495,565,874,1421,1889,0.1814,0.819,1.7580,4.512,0.5354,0.7848,0.3729,0.8134,35.3350,53.6764,0.0505,1.8557,0.3367,1.5191,0.7057,0.327,0.8186,0.4646,0.3803,0.4633,0.1762,416.0000,75.4714,340.5286,158.1997,73.2944,2293.00000,416.0000,1877.00000,872.0000,404.0000,0.5389,4.512,0.8677,2.110,0.8632,1.8211,0.3242,0.2603,0.0020,0.0004,73,402,2118,19236,1716,17119,47015,
60,0,0,1500,1.0,1.00,1,01/01/00,02:12:21,       , NO,-,-,0,0,,700.00,65861,436,2327,1891,509,576,872,1435,1911,0.1874,0.813,1.8027,4.337,0.5283,0.7800,0.3543,0.7686,34.8284,50.6680,0.0498,1.7902,0.3354,1.4548,0.6862,0.320,0.8126,0.4717,0.3833,0.4664,0.1788,436.0000,81.6914,354.3086,167.1302,77.9441,2327.00000,436.0000,1891.00000,892.0000,416.0000,0.5586,4.337,0.8929,2.163,0.8739,1.8905,0.3351,0.2766,0.0019,0.0004,74,409,2173,19657,1764,17484,46130,
61,0,0,1500,1.0,1.00,1,01/01/00,02:12:32,       , NO,-,-,0,0,,600.00,53117,474,2242,1768,596,709,1108,1514,1907,0.2114,0.789,0.8444,3.730,0.5882,0.8105,0.6391,1.1953,30.0434,61.0497,0.0501,2.5768,0.5448,2.0321,0.8367,0.385,0.7886,0.4118,0.3247,0.4602,0.1494,474.0000,100.2123,373.7877,153.9126,70.8252,2242.00000,474.0000,1768.00000,728.0000,335.0000,0.3881,3.730,0.7000,1.013,0.8524,0.8637,0.0057,-0.0636,0.0017,0.0004,67,342,1553,15574,1211,14021,37475,
62,0,0,1500,1.0,1.00,1,01/01/00,02:12:50,       , NO,-,-,0,0,,600.00,57899,445,2531,2086,552,650,1054,1607,2141,0.1758,0.824,1.4655,4.688,0.5570,0.8130,0.4698,0.9732,27.7560,48.4895,0.0463,2.1197,0.3727,1.7470,0.7738,0.327,0.8242,0.4430,0.3651,0.4221,0.1541,445.0000,78.2398,366.7602,162.4575,68.5697,2531.00000,445.0000,2086.00000,924.0000,390.0000,0.4718,4.688,0.7952,1.759,0.7303,1.2843,0.2452,0.1087,0.0019,0.0004,80,430,2047,19394,1617,17347,38425,
63,0,0,1500,1.0,1.00,1,01/01/00,02:13:29,       , NO,-,-,0,0,,1.20,90,451,1299,848,530,602,909,1358,1675,0.3472,0.653,-0.0395,1.880,1.0696,1.4434,0.8491,1.8003,0.1057,0.1779,0.0881,2.5784,0.8952,1.6832,-0.1171,-0.746,0.6528,-0.0696,-0.0454,6.3729,-0.2895,451.0000,156.5828,294.4172,-20.4842,-130.5435,1299.00000,451.0000,848.0000,-59.0000,-376.0000,0.3878,1.880,-0.0650,-0.047,-1.1861,0.0563,INF,-1.2498,0.0014,0.0008,32,144,30,0,0,0,0,
64,0,0,1500,1.0,1.00,1,01/01/00,02:13:47,       , NO,-,-,0,0,,600.00,41414,436,1758,1322,519,595,886,1249,1502,0.2480,0.752,0.6448,3.032,0.6150,0.8064,0.5749,1.1346,31.3268,57.7985,0.0522,2.4535,0.6085,1.8450,0.7104,0.357,0.7520,0.3850,0.2895,0.5029,0.1456,436.0000,108.1320,327.8680,126.2366,63.4903,1758.00000,436.0000,1322.00000,509.0000,256.0000,0.4076,3.032,0.6261,0.774,1.0119,0.7829,-0.1114,-0.1063,0.0017,0.0006,51,261,1272,11463,1011,10192,29900,
65,0,0,1500,1.0,1.00,1,01/01/00,02:14:06,       , NO,-,-,0,0,,290.00,42156,372,2211,1839,488,592,1005,1461,1889,0.1682,0.832,1.2179,4.944,0.5922,0.8249,0.5655,1.1474,22.9233,44.4152,0.0790,2.3295,0.3919,1.9376,0.7902,0.339,0.8318,0.4078,0.3392,0.4293,0.1456,372.0000,62.5889,309.4111,126.1872,54.1764,2211.00000,372.0000,1839.00000,750.0000,322.0000,0.4293,4.944,0.6887,1.462,0.7523,1.0996,0.1648,0.0412,0.0022,0.0005,70,363,1612,15956,1248,14344,26130,
66,0,0,1500,1.0,1.00,1,01/01/00,02:15:23,       , NO,-,-,0,0,,270.00,25590,363,1621,1258,491,619,987,1235,1442,0.2239,0.776,0.4159,3.466,0.6932,0.8577,1.0175,1.6534,20.3421,48.5224,0.0753,3.0736,0.6883,2.3853,0.7319,0.339,0.7761,0.3068,0.2381,0.4637,0.1104,363.0000,81.2887,281.7113,86.4392,40.0845,1621.00000,363.0000,1258.00000,386.0000,179.0000,0.3253,3.466,0.4427,0.499,0.8647,0.4316,-0.3018,-0.3649,0.0021,0.0006,47,211,943,8654,732,7711,16890,
67,0,0,1500,1.0,1.00,1,01/01/00,02:15:48,       , NO,-,-,0,0,,300.00,43387,400,2060,1660,497,570,920,1373,1741,0.1942,0.806,1.1045,4.150,0.5861,0.8078,0.4398,1.0442,26.1367,46.5607,0.0871,2.2107,0.4293,1.7814,0.7373,0.342,0.8058,0.4139,0.3335,0.4643,0.1549,400.0000,77.6699,322.3301,133.3981,61.9417,2060.00000,400.0000,1660.00000,687.0000,319.0000,0.4523,4.150,0.7061,1.325,0.8668,1.1490,0.1224,0.0603,0.0020,0.0005,64,336,1676,15258,1340,13582,28065,
68,0,0,1500,1.0,1.00,1,01/01/00,02:16:04,       , NO,-,-,0,0,,700.00,62002,438,2149,1711,508,574,855,1344,1752,0.2038,0.796,1.5010,3.906,0.5295,0.7680,0.3857,0.8124,36.2372,55.5957,0.0518,1.9270,0.3927,1.5342,0.7218,0.356,0.7962,0.4705,0.3746,0.4932,0.1847,438.0000,89.2713,348.7287,164.0717,80.9148,2149.00000,438.0000,1711.00000,805.0000,397.0000,0.5190,3.906,0.8885,1.801,0.9730,1.7527,0.2556,0.2437,0.0018,0.0005,66,366,1739,17645,1373,15906,44290,
69,0,0,1500,1.0,1.00,1,01/01/00,02:16:44,       , NO,-,-,0,0,,1.20,0,427,1108,681,502,577,847,1144,1379,0.3854,0.615,-0.0210,1.595,1.0529,1.3979,1.1013,2.0558,0.0000,0.0000,0.0000,3.1769,1.2243,1.9526,-0.1032,-0.777,0.6146,-0.0529,-0.0325,7.5278,-0.2446,427.0000,164.5569,262.4431,-13.8736,-104.4377,1108.00000,427.0000,681.0000,-36.0000,-271.0000,0.3148,1.595,-0.0502,-0.025,-1.1532,0.0291,INF,-1.5366,0.0014,0.0009,25,105,0,0,0,0,0,
70,0,0,1500,1.0,1.00,1,01/01/00,02:17:04,       , NO,-,-,0,0,,1.20,38,438,1161,723,500,555,798,1215,1510,0.3773,0.623,-0.0385,1.651,1.0747,1.4827,0.7607,1.6598,0.0528,0.0815,0.0440,2.4800,0.9356,1.5444,-0.1153,-0.745,0.6227,-0.0747,-0.0465,6.4630,-0.3006,438.0000,165.2403,272.7597,-20.3721,-131.6641,1161.00000,438.0000,723.0000,-54.0000,-349.0000,0.4032,1.651,-0.0695,-0.046,-1.1831,0.0547,INF,-1.2618,0.0014,0.0009,27,128,0,0,0,0,0,
71,0,0,1500,1.0,1.00,1,01/01/00,02:17:24,       , NO,-,-,0,0,,1.20,0,43,43,0,43,43,43,43,38,1.0000,0.000,INF,0.000,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.0000,INF,0.0000,INF,0.1163,43.0000,43.0000,0.0000,0.0000,5.0000,43.0000,43.0000,0.0000,0.0000,5.0000,INF,0.000,INF,INF,INF,INF,INF,INF,0.0000,0.0233,0,0,0,0,0,13,0,
72,0,0,1500,1.0,1.00,1,01/01/00,02:17:54,       , NO,-,-,0,0,,1.20,0,455,1094,639,518,577,810,1133,1353,0.4159,0.584,-0.0225,1.404,1.0610,1.4053,0.9233,1.8519,0.0000,0.0000,0.0000,2.9881,1.2428,1.7453,-0.1065,-0.707,0.5841,-0.0610,-0.0356,6.6410,-0.2367,455.0000,189.2367,265.7633,-16.2203,-107.7194,1094.00000,455.0000,639.0000,-39.0000,-259.0000,0.3347,1.404,-0.0575,-0.027,-1.1773,0.0318,INF,-1.4972,0.0013,0.0009,24,106,0,0,0,0,0,
73,0,0,1500,1.0,1.00,1,01/01/00,02:18:18,       , NO,-,-,0,0,,1.20,1,471,1128,657,530,584,814,1179,1412,0.4176,0.582,-0.0302,1.395,1.0776,1.4323,0.8219,1.7402,0.0020,0.0032,0.0017,2.7726,1.1577,1.6149,-0.1254,-0.698,0.5824,-0.0776,-0.0452,5.5686,-0.2518,471.0000,196.6676,274.3324,-21.2952,-118.5851,1128.00000,471.0000,657.0000,-51.0000,-284.0000,0.3607,1.395,-0.0720,-0.036,-1.2189,0.0442,INF,-1.3548,0.0012,0.0009,25,113,0,0,0,0,0,
74,0,0,1500,1.0,1.00,1,01/01/00,02:18:43,       , NO,-,-,0,0,,1.20,0,360,920,560,438,512,754,948,1067,0.3913,0.609,-0.0168,1.556,1.0500,1.2625,1.3214,2.3452,0.0000,0.0000,0.0000,3.6694,1.4359,2.2336,-0.1117,-0.586,0.6087,-0.0500,-0.0304,5.2500,-0.1598,360.0000,140.8696,219.1304,-10.9565,-57.5217,920.0000,360.0000,560.0000,-28.0000,-147.0000,0.2725,1.556,-0.0476,-0.020,-1.2353,0.0249,INF,-1.6032,0.0017,0.0011,20,77,0,0,0,0,0,
75,0,0,1500,1.0,1.00,1,01/01/00,02:19:16,       , NO,-,-,0,0,,600.00,36883,462,1812,1350,552,643,908,1145,1558,0.2550,0.745,0.8140,2.922,0.5059,0.8119,0.6741,1.1012,27.3205,59.4677,0.0455,2.9216,0.7449,2.1767,1.0754,0.410,0.7450,0.4941,0.3681,0.3808,0.1402,462.0000,117.7947,344.2053,170.0629,64.7616,1812.00000,462.0000,1350.00000,667.0000,254.0000,0.3423,2.922,0.9766,0.977,0.6150,0.6007,-0.0102,-0.2213,0.0016,0.0006,52,264,1501,12216,1238,10715,24615,
76,0,0,1500,1.0,1.00,1,01/01/00,02:19:31,       , NO,-,-,0,0,,600.00,59226,466,2187,1721,545,617,907,1359,1808,0.2131,0.787,1.3641,3.693,0.5189,0.7798,0.4184,0.8542,34.4135,56.6493,0.0574,2.0919,0.4457,1.6461,0.7920,0.363,0.7869,0.4811,0.3786,0.4577,0.1733,466.0000,99.2940,366.7060,176.4280,80.7563,2187.00000,466.0000,1721.00000,828.0000,379.0000,0.4780,3.693,0.9272,1.637,0.8441,1.3818,0.2140,0.1404,0.0017,0.0005,67,363,1754,17429,1391,15675,41730,
77,0,0,1500,1.0,1.00,1,01/01/00,02:19:44,       , NO,-,-,0,0,,290.00,41318,399,2232,1833,528,648,1085,1514,1927,0.1788,0.821,0.9872,4.594,0.6083,0.8336,0.6547,1.2475,22.5410,46.2276,0.0777,2.4972,0.4464,2.0508,0.8033,0.341,0.8212,0.3917,0.3217,0.4248,0.1366,399.0000,71.3266,327.6734,128.3522,54.5228,2232.00000,399.0000,1833.00000,718.0000,305.0000,0.4004,4.594,0.6439,1.185,0.7385,0.8748,0.0736,-0.0581,0.0021,0.0004,70,351,1543,15278,1192,13735,25970,
